FIRE_NAME,FIRE_YEAR,STAT_CAUSE_DESCR,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE
"BARNEY FIRE",2007,Lightning,2.5,35.1575,-112.1761111,AZ
"7TH ST.",2007,Children,2.5,43.90138889,-85.85222222,MI
STEAMBOAT,2007,Lightning,2.5,45.23277778,-115.71,ID
SATER,2007,Lightning,5,45.11222222,-116.1397222,ID
CAMP,2007,Campfire,2.5,44.95194444,-116.1377778,ID
LAKE,2007,Lightning,5,45.29388889,-118.8491667,OR
"TWIN FIRE",2007,Lightning,2.5,35.18111111,-112.2241667,AZ
"WHITING FIRE",2007,Lightning,2.5,35.05555556,-112.0380556,AZ
"HILL FIRE",2007,Lightning,2.5,35.22972222,-112.0697222,AZ
"SCHOOL FIRE",2007,Lightning,5,35.24472222,-112.1752778,AZ
HOBART,2007,Campfire,2.5,40.3125,-123.3597222,CA
"BEALE FIRE",2007,Lightning,2.5,35.36138889,-111.8886111,AZ
"PRONGE FIRE",2007,Lightning,2.5,35.30472222,-112.1816667,AZ
"BOYD FIRE",2007,Lightning,2.5,35.20583333,-112.3088889,AZ
"SUNFLOWER FIRE",2007,Lightning,2.5,35.13722222,-112.0452778,AZ
"BORROW FIRE",2007,Lightning,2.5,35.17916667,-112.2272222,AZ
"RADIO WILDFIRE USE",2007,Lightning,15,35.32888889,-112.0483333,AZ
"WAGNER FIRE",2007,Lightning,2.5,35.01555556,-112.1583333,AZ
HAWLEY,2007,Lightning,2.5,44.65444444,-113.1758333,ID
"TURKEY FIRE",2007,Lightning,2.5,35.43333333,-111.8927778,AZ
"SINGLE FIRE",2007,Lightning,2.5,35.44472222,-111.8475,AZ
"EBERT FIRE",2007,Lightning,2.5,35.57194444,-111.9641667,AZ
227,2007,Lightning,2.5,43.79638889,-121.9422222,OR
"RIDGE FIRE",2007,Lightning,5,35.46472222,-111.8897222,AZ
"PULP FIRE",2007,Lightning,2.5,35.09805556,-112.0055556,AZ
CAMP,2007,Lightning,2.5,44.96083333,-114.6169444,ID
"SHULTZ FIRE",2007,Lightning,2.5,35.31277778,-111.9791667,AZ
"BUNNY FLAT",2007,Campfire,2.5,41.35166667,-122.2333333,CA
FRITZER,2007,Lightning,2.5,45.19,-114.335,ID
OSLO,2007,"Equipment Use",5,41.43416667,-121.8355556,CA
"SAND FLAT",2007,Campfire,2.5,41.33444444,-122.2525,CA
177,2007,Campfire,5,43.88666667,-121.4638889,OR
"RANGER FIRE",2007,Lightning,2.5,35.23583333,-112.0638889,AZ
"WOUNDED FIRE",2007,Lightning,2.5,35.235,-112.0602778,AZ
"POWER FIRE",2007,Lightning,2.5,35.13416667,-112.01,AZ
"DEVIL FIRE",2007,Lightning,2.5,35.12944444,-112.3383333,AZ
"28TH STEET",2007,"Debris Burning",5,43.50472222,-85.69083333,MI
HOGBACK,2007,Arson,5,40.85527778,-123.6047222,CA
FISHER,2007,Lightning,10,45.07833333,-116.0830556,ID
MARTIN,2007,Miscellaneous,5,40.88777778,-123.6033333,CA
GREEN,2007,Lightning,2.5,44.22805556,-115.7558333,ID
PEARL,2007,Lightning,2.5,45.08055556,-116.0180556,ID
ANGUS,2007,Lightning,2.5,40.72111111,-120.8975,CA
BENA,2007,Miscellaneous,2.5,47.34166667,-94.18638889,MN
COLBY,2007,Arson,15,40.16583333,-121.5625,CA
EASTSIDE,2007,Arson,2.5,48.53416667,-115.8430556,MT
"ELK CREEK",2007,Lightning,5,46.62138889,-111.3138889,MT
"BEAVER CREEK",2007,Miscellaneous,2.5,46.40305556,-111.7580556,MT
PACKSADDLE,2007,Lightning,5,44.22805556,-115.7572222,ID
"CLEAR CREEK",2007,Lightning,2.5,44.22888889,-115.4875,ID
PARK,2007,Lightning,5,45.02611111,-117.2755556,OR
"DEER CREEK",2007,Lightning,5,44.3775,-115.5519444,ID
"MARY JANE",2007,Lightning,2.5,44.37638889,-115.5419444,ID
BASIN,2007,Lightning,5,44.41166667,-115.6683333,ID
RIDGE,2007,Arson,2.5,40.88861111,-123.6019444,CA
BONNEVILLE,2007,Campfire,10,44.14777778,-115.3016667,ID
SPADE,2007,Lightning,5,44.47694444,-115.5461111,ID
"GRASS MTN",2007,Lightning,5,48.95666667,-116.8533333,ID
"YORK BRIDGE",2007,Miscellaneous,2.5,46.71305556,-111.8041667,MT
CAJON,2007,"Equipment Use",5,34.34694444,-117.4411111,CA
"BROWNS GULCH",2007,"Debris Burning",2.5,46.43472222,-111.9391667,MT
MOUNTAIN,2007,"Equipment Use",5,34.34638889,-117.5102778,CA
"JOHN'S FIRST",2007,"Equipment Use",2.5,48.56777778,-116.8941667,ID
"MCCLELLAN CREEK",2007,"Equipment Use",2.5,46.49166667,-111.8927778,MT
"WASSON CREEK",2007,Lightning,2.5,46.87833333,-112.835,MT
PLUG,2007,Lightning,2.5,44.75333333,-118.5705556,OR
"DIRTY BURN",2007,Lightning,5,44.91666667,-118.7925,OR
RADIO,2007,Miscellaneous,5,47.32361111,-94.1475,MN
SHILLING,2007,Campfire,2.5,37.38416667,-106.2961111,CO
CHAMA,2007,Lightning,2.5,36.23861111,-106.6225,NM
"THORPE GULCH",2007,Campfire,2.5,39.10944444,-105.5075,CO
MOOSE,2007,Miscellaneous,2.5,44.47833333,-111.2825,ID
BOULDER,2007,Miscellaneous,2.5,32.87611111,-116.6391667,CA
"OVER THE HILL",2007,Lightning,2.5,48.46638889,-115.9255556,MT
"THREE FINGERS",2007,Lightning,2.5,48.44777778,-115.935,MT
"PROSPECT CREEK",2007,Lightning,2.5,48.62805556,-115.8872222,MT
BONNETT,2007,Lightning,2.5,48.9625,-115.7011111,MT
"LITTLE JACKSON",2007,Lightning,2.5,48.45111111,-115.3369444,MT
"PORTAL IN TIME",2007,Lightning,2.5,48.57083333,-114.9636111,MT
"RED TAIL",2007,Lightning,5,48.37027778,-115.9319444,MT
"KEELER MOUNTAIN",2007,Lightning,2.5,48.32555556,-115.9116667,MT
"PORTAL IN TIME #2",2007,Lightning,2.5,48.57083333,-114.9636111,MT
GUTSHALL,2007,Campfire,5,38.10111111,-108.1611111,CO
"YAAK MOUNTAIN",2007,Lightning,2.5,48.56027778,-115.9211111,MT
"CRIPPLE TRAIL 281",2007,Lightning,2.5,48.455,-115.2125,MT
"LITTLE TOM",2007,Lightning,5,48.57305556,-115.6513889,MT
COOL,2007,Lightning,2.5,48.78833333,-115.7652778,MT
"WEIGEL #1",2007,Lightning,5,48.42722222,-115.0711111,MT
"SANDY BOTTOM FIRE",2007,Miscellaneous,2.5,34.785,-84.23861111,GA
"HIATT HO",2007,Lightning,2.5,48.28166667,-115.9611111,MT
"PHEASANT CREEK",2007,Lightning,2.5,48.81694444,-115.7988889,MT
"WEIGEL #2",2007,Lightning,2.5,48.42833333,-115.0519444,MT
"SAVAGE MOUNTAIN",2007,Lightning,10,48.22777778,-115.9966667,MT
"RED TOP",2007,Lightning,2.5,48.75277778,-115.9794444,MT
SKI,2007,"Debris Burning",2.5,34.33,-117.5130556,CA
"STEEP SWEDE",2007,Lightning,2.5,48.37,-115.4452778,MT
"BARRON BLOWDOWN",2007,Lightning,2.5,48.52111111,-115.4019444,MT
THICKET,2007,Lightning,5,48.29472222,-115.9322222,MT
"NORTH FORK ROSS",2007,Lightning,5,48.22277778,-115.9630556,MT
"DRY LAKE",2007,Lightning,25,34.14027778,-107.1588889,NM
"BOYD CREEK",2007,Lightning,2.5,48.97555556,-115.7233333,MT
"ANT HILL",2007,Lightning,5,48.52027778,-115.2252778,MT
DUNN,2007,Lightning,5,48.33083333,-115.1561111,MT
"SOUTH FORK",2007,Lightning,2.5,48.66833333,-115.4777778,MT
"PETE CREEK",2007,Lightning,2.5,48.85333333,-115.7741667,MT
"BARRON JACK",2007,Lightning,5,48.50305556,-115.3541667,MT
ATTLEBURY,2007,Lightning,5,47.77611111,-115.7825,MT
"4TH OF JULY",2007,Lightning,5,48.0275,-115.5241667,MT
"WILSON SHED",2007,Miscellaneous,2.5,48.77027778,-114.9275,MT
"FISHER RIVER HWY",2007,Miscellaneous,2.5,48.15444444,-115.4413889,MT
ROSWELL,2007,Lightning,5,48.9575,-115.7855556,MT
CEMETERY,2007,"Debris Burning",2.5,48.0625,-115.9630556,MT
"OLD HWY 2",2007,Miscellaneous,2.5,48.65583333,-116.0288889,MT
CARIBOU,2007,Lightning,2.5,48.98083333,-115.4972222,MT
WINKUM,2007,Lightning,2.5,48.9675,-115.8913889,MT
"CEDAR CREEK",2007,Smoking,2.5,48.42222222,-115.6369444,MT
"ASHTON #1",2007,Arson,2.5,44.16916667,-111.4238889,ID
"HAUL'N FISH",2007,Children,5,48.30027778,-115.51,MT
"KOO KOO BOYD",2007,Lightning,2.5,48.97416667,-115.6677778,MT
HIGHWAY,2007,"Debris Burning",5,48.10722222,-115.405,MT
"RIVER ROAD",2007,Miscellaneous,2.5,48.47111111,-115.8930556,MT
"ASHTON #2",2007,Arson,2.5,44.17055556,-111.4236111,ID
"FORTINE 45",2007,Miscellaneous,2.5,48.6625,-114.8994444,MT
"SOUTH BULL LAKE",2007,Miscellaneous,5,48.21805556,-115.8472222,MT
"GRIZZLY RANCH",2007,Lightning,5,48.83222222,-115.6916667,MT
"BOAT LAUNCH",2007,Miscellaneous,2.5,48.51222222,-115.9411111,MT
"BULL RIVER",2007,Miscellaneous,5,48.18305556,-115.8608333,MT
"SALISH SPRINGS",2007,"Debris Burning",2.5,48.64527778,-114.925,MT
"VERNON RIDGE",2007,Lightning,2.5,48.23083333,-115.9244444,MT
"TOBACCO BREAKS",2007,Lightning,2.5,48.82694444,-115.0625,MT
"ASHTON #3",2007,Arson,2.5,44.17138889,-111.4236111,ID
"RANGER'S BACKYARD",2007,Lightning,2.5,48.36611111,-115.3944444,MT
"SOUTH BARRON",2007,Lightning,5,48.50166667,-115.3336111,MT
"LEONIA CUTOFF",2007,Miscellaneous,2.5,48.6125,-116.02,MT
"WEST GRIZZLY",2007,Lightning,5,48.77305556,-115.8166667,MT
"EAST FORK YAAK",2007,Lightning,5,48.91111111,-115.3872222,MT
"EAST FORK YAAK #2",2007,Lightning,2.5,48.92444444,-115.3680556,MT
"BEAR FLATS",2007,Arson,5,48.28361111,-115.5083333,MT
"ASHTON #4",2007,Arson,2.5,44.18833333,-111.4438889,ID
LICK,2007,Lightning,2.5,48.98055556,-115.6633333,MT
"LONG MEADOWS",2007,Lightning,2.5,48.81666667,-115.775,MT
"L FACE",2007,Lightning,2.5,48.39,-115.505,MT
RAILROAD,2007,Railroad,10,34.32694444,-117.4525,CA
"CALLAHAN CREEK",2007,Lightning,2.5,48.42777778,-116.0525,MT
MILL,2007,Lightning,2.5,34.01861111,-107.2411111,NM
"DUNN RIDGE",2007,Lightning,2.5,48.38305556,-115.2786111,MT
"IRON GOAT",2007,Lightning,2.5,48.4,-115.9583333,MT
"SMOOT RIDGE",2007,Lightning,2.5,48.69972222,-115.6091667,MT
"THUNDER ROAD",2007,Lightning,5,38.08083333,-108.3169444,CO
CAMERON,2007,"Equipment Use",2.5,32.71805556,-116.4683333,CA
"RAILROAD #2",2007,Railroad,10,34.32194444,-117.4552778,CA
GLEN,2007,"Equipment Use",2.5,34.02666667,-116.8966667,CA
COLDWATER,2007,Children,5,34.16972222,-117.3497222,CA
SHOOTING,2007,Miscellaneous,10,34.27361111,-117.5305556,CA
BADGER,2007,Lightning,2.5,39.06166667,-105.555,CO
MARTIN,2007,Lightning,10,37.04388889,-84.21972222,KY
DURFEE,2007,Lightning,2.5,33.95666667,-107.5794444,NM
BUFFALO,2007,Arson,5,36.71694444,-90.97361111,MO
"CAVE FORK",2007,Arson,10,36.75138889,-91.09888889,MO
ROY,2007,Lightning,2.5,34.19888889,-107.3458333,NM
"KODIACK 1",2007,Arson,5,36.92305556,-91.45555556,MO
"KODIAK 2",2007,Arson,5,36.92305556,-91.62222222,MO
HARDY,2007,Lightning,5,33.9525,-107.1977778,NM
"KODIAK 3",2007,Arson,5,36.92333333,-91.45833333,MO
IRISH,2007,Arson,5,36.76611111,-91.135,MO
"HIDDEN SPRINGS",2007,Lightning,5,33.73138889,-107.4436111,NM
"DEAD PINE",2007,Children,5,36.645,-91.14916667,MO
"SAWMILL MESA WFU",2007,Lightning,5,38.53777778,-108.3644444,CO
RANGE,2007,Arson,5,36.74166667,-91.11972222,MO
ELEPHANT,2007,Lightning,5,34.05805556,-107.2297222,NM
HUGHES,2007,Lightning,2.5,33.85166667,-107.5483333,NM
"4TH OF JULY",2007,Lightning,2.5,45.41666667,-113.8180556,ID
"ED JOE",2007,Lightning,2.5,38.04888889,-108.285,CO
CROSBY,2007,Lightning,5,34.14861111,-107.9338889,NM
"FOX HOLLOW",2007,Arson,10,36.90277778,-91.46583333,MO
"CHANDLER CREEK",2007,Lightning,5,38.35222222,-105.2894444,CO
"WEST SPRING",2007,Lightning,5,45.45916667,-114.3094444,ID
"WEST SAG",2007,Lightning,2.5,48.19111111,-91.0175,MN
HAYSTACK,2007,Lightning,2.5,42.69083333,-112.1175,ID
"MOUNTAIN VIW",2007,Lightning,2.5,38.3275,-108.4861111,CO
"BOGUS TROUT",2007,Lightning,2.5,47.87722222,-90.20138889,MN
CASTELLA,2007,Miscellaneous,2.5,41.13527778,-122.3166667,CA
SNAKE,2007,Lightning,5,33.67861111,-109.4866667,AZ
MCKENZIE,2007,Lightning,2.5,38.11361111,-108.0588889,CO
YAKUS,2007,Lightning,5,46.2325,-115.68,ID
"TWO ISLAND",2007,Lightning,2.5,47.87638889,-90.43416667,MN
RESERVOIR,2007,Lightning,2.5,33.96138889,-109.2991667,AZ
"WEST BALDY",2007,Miscellaneous,2.5,33.965,-109.5027778,AZ
CROSBY,2007,Arson,5,33.91888889,-109.3097222,AZ
LUCE,2007,Lightning,2.5,33.73305556,-109.1155556,AZ
"LOUISIANA GULCH",2007,Lightning,2.5,46.99777778,-114.8691667,MT
OR-MAF-160,2007,Lightning,2.5,44.11333333,-119.1130556,OR
OR-MAF-179,2007,Lightning,2.5,44.19444444,-118.865,OR
ROBBINS-01,2007,Arson,5,34.66055556,-93.33472222,AR
RIM,2007,Lightning,5,33.83083333,-107.5527778,NM
CLARK,2007,Lightning,2.5,34.29555556,-108.135,NM
BISHOP,2007,Lightning,5,33.90972222,-108.9858333,NM
505,2007,Arson,5,34.0475,-107.1197222,NM
"HOTSAW #1",2007,"Equipment Use",2.5,34.04944444,-109.4919444,AZ
"JOHN BOX",2007,Lightning,5,33.71694444,-107.5122222,NM
"HOTSAW #2",2007,"Equipment Use",2.5,34.04916667,-109.4980556,AZ
"TIN CUP",2007,Lightning,5,34.02138889,-108.9141667,NM
BANEY,2007,Lightning,2.5,33.87416667,-107.6047222,NM
DEER,2007,"Equipment Use",5,37.74222222,-119.9316667,CA
"S E SHORE",2007,Campfire,2.5,43.69333333,-122.0658333,OR
COBRA,2007,Lightning,2.5,33.81833333,-107.4608333,NM
CLEAR,2007,Lightning,2.5,43.74416667,-115.9747222,ID
APACHE,2007,Lightning,2.5,33.77472222,-107.4436111,NM
CAPTAIN,2007,Arson,2.5,43.83638889,-122.3738889,OR
SCOUT,2007,Campfire,2.5,33.86138889,-109.3669444,AZ
"BUCK CREEK",2007,Lightning,5,43.50388889,-115.4638889,ID
"BEAR GULCH FIRE",2007,Lightning,5,38.16722222,-105.1497222,CO
"HOUSE PLACE",2007,Arson,5,36.87694444,-91.96222222,MO
"TERRELL SKIDDER",2007,"Equipment Use",2.5,33.01805556,-83.71027778,GA
TRASH,2007,Arson,5,36.87777778,-91.9625,MO
OPEN,2007,Lightning,2.5,33.85388889,-109.3533333,AZ
VISTA,2007,"Equipment Use",2.5,32.83805556,-116.6655556,CA
"DEAD DOG",2007,Lightning,2.5,43.60777778,-116.0044444,ID
"LONE WOLF",2007,Campfire,2.5,43.75722222,-122.6183333,OR
DONNELL,2007,Lightning,2.5,38.34361111,-119.9313889,CA
HC,2007,Lightning,5,34.03583333,-109.3833333,AZ
"NORTH CREEK",2007,Lightning,2.5,38.13083333,-108.12,CO
"TELEPHONE PLOE",2007,Lightning,2.5,43.6075,-116.0016667,ID
HOMER,2007,Miscellaneous,25,35.665,-99.87888889,OK
CLARKFORK,2007,Campfire,2.5,38.41694444,-119.7530556,CA
BERNASCONI,2007,Campfire,10,37.15166667,-118.3477778,CA
"MEXICAN HAY",2007,Lightning,2.5,34.02416667,-109.3566667,AZ
OUTLINE,2007,Miscellaneous,2.5,48.52277778,-116.8975,ID
BOARDSHACK,2007,Lightning,5,33.85805556,-109.4491667,AZ
"REEDER BAY",2007,"Equipment Use",2.5,48.63222222,-116.9172222,ID
"BIG LAKE",2007,Lightning,2.5,33.86111111,-109.3919444,AZ
"BOX ELDER",2007,Arson,25,44.14472222,-103.4355556,SD
BEAR,2007,Miscellaneous,2.5,37.33916667,-118.9705556,CA
"PETERSON 8",2007,Lightning,2.5,39.74222222,-120.0533333,CA
PEAVINE,2007,Lightning,10,39.42611111,-119.9283333,NV
"LONG VALLEY",2007,"Equipment Use",5,39.36027778,-120,CA
PLATEAU,2007,"Equipment Use",10,39.49055556,-119.8961111,NV
WOODED_2,2007,Campfire,2.5,32.85083333,-116.4336111,CA
WOODED_3,2007,Campfire,2.5,32.85083333,-116.4330556,CA
WOODED_4,2007,Campfire,2.5,32.85194444,-116.4330556,CA
"COUNTY LINE",2007,Lightning,2.5,45.11083333,-116.1572222,ID
WOODED_5,2007,Campfire,2.5,32.85166667,-116.4327778,CA
WOODED_6,2007,Campfire,2.5,32.85138889,-116.4327778,CA
MILLER,2007,Lightning,2.5,45.08722222,-116.4633333,ID
"NEMO RIDGE",2007,Campfire,2.5,44.19861111,-103.5044444,SD
RATTLESNAKE,2007,Lightning,2.5,45.29916667,-116.2880556,ID
DUMPSTER,2007,Miscellaneous,2.5,33.73916667,-111.6594444,AZ
VERDE,2007,Miscellaneous,5,33.90166667,-111.6702778,AZ
LINE,2007,Miscellaneous,2.5,47.13194444,-114.5138889,MT
MOSS,2007,Lightning,10,43.33888889,-104.0211111,SD
HOYT,2007,Lightning,2.5,47.25861111,-115.9144444,ID
CAMELFISH,2007,Lightning,2.5,47.145,-115.9769444,ID
"CAMEL TWO DOT",2007,Lightning,5,47.16166667,-115.9966667,ID
"BROWN'S PASS",2007,Miscellaneous,2.5,39.17083333,-106.0966667,CO
"RAINBOW PONDS",2007,Lightning,2.5,45.05916667,-118.2269444,OR
"POUGUE POINT",2007,Lightning,2.5,44.59222222,-118.3063889,OR
METHODIST,2007,Lightning,2.5,43.98027778,-113.4552778,ID
"FOREST BOUNDARY",2007,Lightning,5,44.61111111,-118.3333333,OR
"LIZ CREEK",2007,Lightning,2.5,46.43888889,-115.3019444,ID
"CABELL MEADOWS",2007,Lightning,2.5,44.89444444,-118.3791667,OR
LILY,2007,Lightning,2.5,44.93722222,-109.7108333,WY
GHOST,2007,Lightning,2.5,44.90388889,-109.6505556,WY
"BUCK GULCH",2007,Lightning,2.5,44.75222222,-118.2663889,OR
"CANYON CREEK",2007,Lightning,2.5,44.60638889,-109.3344444,WY
548,2007,Lightning,2.5,43.67222222,-109.91,WY
BROWNELL,2007,Lightning,2.5,38.43611111,-109.3230556,UT
"DOUBLE CABIN",2007,Campfire,2.5,43.81083333,-109.5652778,WY
TOPAZ,2007,Lightning,5,48.12833333,-91.13611111,MN
"BLACK BUTTE",2007,Lightning,2.5,44.95722222,-118.3291667,OR
"BLUE DIAMOND",2007,Campfire,2.5,42.73027778,-108.8483333,WY
"SLATE CREEK",2007,Campfire,2.5,42.52444444,-108.8,WY
CAYLOR,2007,Lightning,2.5,38.95583333,-105.4705556,CO
CAVE,2007,Campfire,2.5,40.69666667,-121.4247222,CA
"JOHNSON CAMP",2007,Campfire,2.5,43.40861111,-122.6125,OR
CHIPPEWAY,2007,Lightning,2.5,32.90944444,-105.7094444,NM
TRAIL,2007,Arson,5,43.33833333,-122.7241667,OR
"MIDDLE TRAIL",2007,Lightning,2.5,44.94944444,-118.3508333,OR
"WIND PEAK",2007,Lightning,2.5,44.82166667,-118.1830556,OR
"BLOSSOM  LAKE",2007,Lightning,5,47.54638889,-115.7438889,MT
EILER,2007,Campfire,2.5,40.73222222,-121.5736111,CA
DENT,2007,Lightning,5,45.91333333,-115.2866667,ID
MILL,2007,Miscellaneous,2.5,47.76055556,-90.30722222,MN
INDEPENDENCE,2007,Campfire,2.5,38.93416667,-105.3636111,CO
BREAKFAST,2007,Campfire,2.5,46.15944444,-117.7302778,WA
DELTA,2007,Miscellaneous,5,40.95027778,-122.4333333,CA
"FRENCHMAN CREEK",2007,Lightning,5,38.93416667,-106.2111111,CO
"FISH WINDMILL",2007,Lightning,5,44.78444444,-104.3841667,WY
WILKERSON,2007,Lightning,2.5,39.01666667,-105.5483333,CO
"SOUTH COTTONWOOD",2007,"Equipment Use",2.5,38.77222222,-106.3113889,CO
FOREBAY,2007,Campfire,2.5,39.10694444,-106.3591667,CO
"GREY ROCK MEADOW",2007,Lightning,5,40.7125,-105.305,CO
"WOLF DEN",2007,Arson,2.5,35.43,-80.07,NC
BALL,2007,Lightning,2.5,41.77694444,-122.1461111,CA
"HAZEL MTN 4",2007,Lightning,2.5,45.25027778,-117.5102778,OR
"AL GULCH",2007,"Debris Burning",2.5,39.25416667,-105.6527778,CO
FOSS,2007,Lightning,15,43.38138889,-103.9747222,SD
MESSYCAMP,2007,Campfire,2.5,44.28666667,-86.19027778,MI
"LANDIS 4",2007,Lightning,2.5,39.10805556,-105.4272222,CO
"WILDCAT SPRINGS",2007,Lightning,10,37.445,-90.35166667,MO
TENT,2007,Campfire,2.5,39.71388889,-107.5063889,CO
"HARRIS FIRE",2007,Lightning,2.5,47.76305556,-91.68638889,MN
BULL,2007,Lightning,2.5,39.34222222,-108.0627778,CO
"FALLS CREEK",2007,Miscellaneous,2.5,48.33361111,-116.1727778,ID
CHURCH,2007,Lightning,2.5,41.81694444,-122.995,CA
"BUTT RESERVOIR",2007,Campfire,2.5,40.16777778,-121.1925,CA
POCKET,2007,Lightning,2.5,45.39611111,-117.7358333,OR
"TANNER GULCH",2007,Lightning,2.5,45.0275,-118.31,OR
UTLEY,2007,Lightning,2.5,43.95222222,-119.445,OR
BAAH,2007,Lightning,2.5,45.02694444,-118.5116667,OR
"JACK KNIFE",2007,Lightning,5,43.89444444,-118.8252778,OR
"CHICKEN HILL",2007,Lightning,2.5,44.98888889,-118.3577778,OR
"BREAK IN FIRE",2007,Lightning,2.5,45.24944444,-118.5919444,OR
BURRO,2007,Lightning,2.5,39.87027778,-107.5875,CO
TAMERRACK,2007,Lightning,2.5,45.00055556,-117.4536111,OR
BULL,2007,Lightning,2.5,44.48416667,-104.4419444,WY
BARNES,2007,Miscellaneous,10,36.85583333,-91.19222222,MO
"HARLEY ROAD #-1",2007,Arson,2.5,34.70416667,-93.18722222,AR
#7174,2007,Lightning,5,43.83972222,-119.6977778,OR
HWY,2007,Arson,5,37.82194444,-120.0397222,CA
EMIGRATION,2007,"Equipment Use",2.5,42.36222222,-111.5188889,ID
"MANY CANYON",2007,Lightning,2.5,35.64916667,-105.8744444,NM
"THIRTY ONE",2007,Lightning,5,35.69305556,-106.1783333,NM
SAWTOOTH,2007,Lightning,2.5,45.43194444,-113.0491667,MT
CAMP,2007,Lightning,2.5,34.40638889,-111.4391667,AZ
#7237,2007,Lightning,2.5,43.79277778,-119.0869444,OR
"BLYTHE #-1",2007,"Debris Burning",5,34.87111111,-93.2675,AR
"MCBRIDE CREEK",2007,Lightning,2.5,44.7525,-112.9169444,MT
RING,2007,Lightning,2.5,34.32472222,-111.0497222,AZ
SPRING,2007,Lightning,2.5,34.3475,-111.4383333,AZ
"INDIAN SPRINGS",2007,Lightning,2.5,33.85416667,-109.3905556,AZ
"CRIB SPRING",2007,Lightning,5,42.12638889,-111.4455556,ID
"SAVALL #-1",2007,Arson,5,34.68166667,-93.18611111,AR
115,2007,Lightning,2.5,33.88,-109.3997222,AZ
LITTER,2007,Lightning,2.5,34.27333333,-111.2977778,AZ
"CROSBY CROSSING",2007,Lightning,2.5,33.90777778,-109.3527778,AZ
STAR,2007,Lightning,2.5,34.26888889,-111.2586111,AZ
LOCO,2007,Lightning,2.5,34.00638889,-109.0477778,AZ
ALKALI,2007,Lightning,2.5,39.92388889,-110.3725,UT
"HWY 169",2007,Miscellaneous,2.5,34.13083333,-107.2783333,NM
BIGCAN,2007,Lightning,5,34.23138889,-111.1633333,AZ
CHEATBACK,2007,Lightning,2.5,42.52305556,-111.6386111,ID
FORWARDER,2007,Lightning,2.5,43.86611111,-119.0472222,OR
GRANITE,2007,Lightning,35,33.09083333,-107.7194444,NM
"BAY BUCK",2007,Lightning,2.5,33.78916667,-107.5122222,NM
NORTH,2007,Lightning,2.5,44.29638889,-104.1013889,WY
"SWAN FLAT",2007,Campfire,2.5,42.00694444,-111.4883333,ID
SKELTON,2007,Lightning,2.5,34.29555556,-107.9227778,NM
"CROSBY CANYON",2007,Lightning,2.5,34.14861111,-107.9513889,NM
BUCK,2007,Lightning,2.5,34.32111111,-111.4136111,AZ
"FISH BENCH",2007,Lightning,5,33.71444444,-109.405,AZ
SPANISH,2007,Lightning,5,34.065,-109.3113889,AZ
HIGHLINE,2007,Lightning,2.5,34.36722222,-111.1663889,AZ
J,2007,Lightning,2.5,33.80666667,-109.3680556,AZ
ABANDONED,2007,Campfire,2.5,34.06305556,-109.3652778,AZ
STABLE,2007,Smoking,2.5,33.86555556,-109.4302778,AZ
WAHOO,2007,Lightning,25,33.64472222,-107.7394444,NM
#7271,2007,Lightning,2.5,43.755,-118.8880556,OR
DEER,2007,Miscellaneous,2.5,33.85555556,-109.3802778,AZ
"I CAN'T FIND IT",2007,Miscellaneous,2.5,44.36027778,-85.3675,MI
LAKE,2007,Lightning,25,33.11972222,-107.7538889,NM
CRACKER,2007,Lightning,5,39.95277778,-110.4002778,UT
COPPER,2007,"Debris Burning",5,30.54194444,-89.02833333,MS
ROOSTER,2007,Miscellaneous,10,30.66777778,-88.81,MS
DARRELL,2007,Lightning,2.5,39.97388889,-110.3808333,UT
"HORSE RIDGE",2007,Lightning,2.5,39.88777778,-110.89,UT
"MONKEY FIST",2007,Arson,5,30.53861111,-89.07055556,MS
"IRON MINE",2007,Lightning,2.5,40.55972222,-110.8772222,UT
WIRE,2007,Arson,2.5,30.69861111,-88.85444444,MS
"LOG HOLLOW",2007,Lightning,2.5,40.47527778,-110.6922222,UT
"PETE LOOP",2007,Arson,5,31.03583333,-89.1525,MS
"LONG BEARD",2007,Arson,25,31.02361111,-89.13638889,MS
DOLL,2007,Lightning,2.5,34.22083333,-111.4688889,AZ
JOSEPHINE,2007,Lightning,2.5,40.73111111,-105.8755556,CO
"2 GRAND",2007,Arson,10,30.67888889,-89.0625,MS
SPRING,2007,Lightning,5,32.88305556,-108.1013889,NM
THIRTY,2007,Lightning,2.5,34.40527778,-111.1811111,AZ
"MINERS GULCH",2007,Lightning,2.5,40.57361111,-110.6416667,UT
"BIG PRIOR",2007,Lightning,2.5,45.17138889,-108.4716667,MT
"MOON LAKE",2007,Campfire,2.5,40.54527778,-110.4922222,UT
CABIN,2007,Lightning,2.5,34.33972222,-111.1391667,AZ
"SNOWBANK 2",2007,Campfire,5,48.00027778,-91.4,MN
MEADOW,2007,Lightning,5,32.93527778,-108.1722222,NM
"MORNING FIRE",2007,Arson,5,47.5475,-93.99,MN
NATURAL,2007,Lightning,2.5,34.32027778,-111.4222222,AZ
ATCHESON,2007,Lightning,2.5,34.02611111,-109.3391667,AZ
SKATES,2007,Lightning,2.5,32.98305556,-108.12,NM
"MOUNTAIN VIEW",2007,Lightning,2.5,45.39722222,-109.9094444,MT
"ROAD 152",2007,Arson,5,36.83527778,-88.00972222,KY
